ranking_date,rank,player_id,points,name_first,name_last,hand,dob,ioc,height,wikidata_id,age,tours,rank_group,full_name
2021-11-22,17,106426,2353,Cristian,Garin,R,1996-05-30,CHI,185,Q4252035,25,NA,"(10,20]",Cristian Garin
2021-11-22,18,106234,2351,Aslan,Karatsev,R,1993-09-04,RUS,185,Q18546813,28,NA,"(10,20]",Aslan Karatsev
2021-11-22,19,105138,2260,Roberto,Bautista Agut,R,1988-04-14,ESP,183,Q966542,33,NA,"(10,20]",Roberto Bautista Agut
2021-11-22,20,105807,2230,Pablo,Carreno Busta,R,1991-07-12,ESP,188,Q7121592,30,NA,"(10,20]",Pablo Carreno Busta
2021-11-22,21,104792,2158,Gael,Monfils,R,1986-09-01,FRA,193,Q186429,35,NA,"(20,50]",Gael Monfils
2021-11-22,22,105932,2101,Nikoloz,Basilashvili,R,1992-02-23,GEO,185,Q16297666,29,NA,"(20,50]",Nikoloz Basilashvili
2021-11-22,23,126203,2050,Taylor,Fritz,R,1997-10-28,USA,193,Q17660516,24,NA,"(20,50]",Taylor Fritz
2021-11-22,24,104545,1991,John,Isner,R,1985-04-26,USA,206,Q53566,36,NA,"(20,50]",John Isner
2021-11-22,25,105554,1942,Daniel,Evans,R,1990-05-23,GBR,175,Q4847264,31,NA,"(20,50]",Daniel Evans
2021-11-22,26,124187,1936,Reilly,Opelka,R,1997-08-28,USA,211,Q20655502,24,NA,"(20,50]",Reilly Opelka
2021-11-22,27,132283,1825,Lorenzo,Sonego,R,1995-05-11,ITA,191,Q24061220,26,NA,"(20,50]",Lorenzo Sonego
2021-11-22,28,105777,1801,Grigor,Dimitrov,R,1991-05-16,BUL,188,Q337681,30,NA,"(20,50]",Grigor Dimitrov
2021-11-22,29,111575,1731,Karen,Khachanov,R,1996-05-21,RUS,198,Q16568576,25,NA,"(20,50]",Karen Khachanov
2021-11-22,30,105227,1710,Marin,Cilic,R,1988-09-28,CRO,198,Q245241,33,NA,"(20,50]",Marin Cilic
2021-11-22,31,144750,1644,Lloyd,Harris,R,1997-02-24,RSA,193,Q23039257,24,NA,"(20,50]",Lloyd Harris
2021-11-22,32,207989,1612,Carlos,Alcaraz,R,2003-05-05,ESP,185,Q85518537,18,NA,"(20,50]",Carlos Alcaraz
2021-11-22,33,105583,1591,Dusan,Lajovic,R,1990-06-30,SRB,180,Q551295,31,NA,"(20,50]",Dusan Lajovic
2021-11-22,34,200282,1561,Alex,De Minaur,R,1999-02-17,AUS,183,Q22958938,22,NA,"(20,50]",Alex De Minaur
2021-11-22,35,200005,1558,Ugo,Humbert,L,1998-06-26,FRA,188,Q54007306,23,NA,"(20,50]",Ugo Humbert
2021-11-22,36,122330,1538,Alexander,Bublik,R,1997-06-17,KAZ,196,Q23678983,24,NA,"(20,50]",Alexander Bublik
2021-11-22,37,104926,1494,Fabio,Fognini,R,1987-05-24,ITA,178,Q251980,34,NA,"(20,50]",Fabio Fognini
2021-11-22,38,126207,1492,Frances,Tiafoe,R,1998-01-20,USA,188,Q17305299,23,NA,"(20,50]",Frances Tiafoe
2021-11-22,39,105676,1476,David,Goffin,R,1990-12-07,BEL,180,Q19406,30,NA,"(20,50]",David Goffin
2021-11-22,40,105916,1459,Marton,Fucsovics,R,1992-02-08,HUN,188,Q649333,29,NA,"(20,50]",Marton Fucsovics
2021-11-22,41,200624,1426,Sebastian,Korda,R,2000-07-05,USA,196,Q47500285,21,NA,"(20,50]",Sebastian Korda
2021-11-22,42,105936,1402,Filip,Krajinovic,R,1992-02-27,SRB,185,Q178244,29,NA,"(20,50]",Filip Krajinovic
2021-11-22,43,126205,1349,Tommy,Paul,R,1997-05-17,USA,185,Q20050871,24,NA,"(20,50]",Tommy Paul
2021-11-22,44,105643,1327,Federico,Delbonis,L,1990-10-05,ARG,190,Q367654,31,NA,"(20,50]",Federico Delbonis
2021-11-22,45,105077,1294,Albert,Ramos,L,1988-01-17,ESP,188,Q459158,33,NA,"(20,50]",Albert Ramos
2021-11-22,46,105332,1245,Benoit,Paire,R,1989-05-08,FRA,196,Q246542,32,NA,"(20,50]",Benoit Paire
2021-11-22,47,105453,1210,Kei,Nishikori,R,1989-12-29,JPN,178,Q311222,31,NA,"(20,50]",Kei Nishikori
2021-11-22,48,125802,1194,Ilya,Ivashka,R,1994-02-24,BLR,193,Q23039320,27,NA,"(20,50]",Ilya Ivashka
2021-11-22,49,105902,1176,James,Duckworth,R,1992-01-21,AUS,183,Q1336011,29,NA,"(20,50]",James Duckworth
2021-11-22,50,200221,1160,Alejandro,Davidovich Fokina,R,1999-06-05,ESP,183,Q33084529,22,NA,"(20,50]",Alejandro Davidovich Fokina
2021-11-22,51,105526,1134,Jan Lennard,Struff,R,1990-04-25,GER,193,Q1681537,31,NA,"(50,101]",Jan Lennard Struff
2021-11-22,52,111513,1131,Laslo,Djere,R,1995-06-02,SRB,188,Q18098061,26,NA,"(50,101]",Laslo Djere
2021-11-22,53,126952,1115,Soon Woo,Kwon,R,1997-12-02,KOR,180,Q28673930,23,NA,"(50,101]",Soon Woo Kwon
2021-11-22,54,136440,1101,Dominik,Koepfer,L,1994-04-29,GER,180,Q37535155,27,NA,"(50,101]",Dominik Koepfer
2021-11-22,55,111456,1084,Mackenzie,Mcdonald,R,1995-04-16,USA,NA,Q14657983,26,NA,"(50,101]",Mackenzie Mcdonald
2021-11-22,56,202385,1063,Jenson,Brooksby,R,2000-10-26,USA,NA,Q56073233,21,NA,"(50,101]",Jenson Brooksby
2021-11-22,57,122298,1034,Botic,Van De Zandschulp,R,1995-10-04,NED,NA,Q28038578,26,NA,"(50,101]",Botic Van De Zandschulp
2021-11-22,58,126239,1029,Arthur,Rinderknech,R,1995-07-23,FRA,NA,Q54007388,26,NA,"(50,101]",Arthur Rinderknech
2021-11-22,59,207518,1004,Lorenzo,Musetti,R,2002-03-03,ITA,185,Q54813043,19,NA,"(50,101]",Lorenzo Musetti
2021-11-22,60,124079,1001,Pedro,Martinez,R,1997-04-26,ESP,NA,Q52063672,24,NA,"(50,101]",Pedro Martinez
2021-11-22,61,200615,1000,Alexei,Popyrin,R,1999-08-05,AUS,196,Q30143529,22,NA,"(50,101]",Alexei Popyrin
2021-11-22,62,126149,978,Gianluca,Mager,R,1994-12-01,ITA,185,Q29918444,26,NA,"(50,101]",Gianluca Mager
2021-11-22,63,126127,969,Benjamin,Bonzi,R,1996-06-09,FRA,NA,Q18125349,25,NA,"(50,101]",Benjamin Bonzi
2021-11-22,64,134868,966,Tallon,Griekspoor,R,1996-07-02,NED,NA,Q28777443,25,NA,"(50,101]",Tallon Griekspoor
2021-11-22,65,106218,929,Marcos,Giron,R,1993-07-24,USA,180,Q17478053,28,NA,"(50,101]",Marcos Giron
2021-11-22,66,200384,919,Hugo,Gaston,L,2000-09-26,FRA,NA,Q47483451,21,NA,"(50,101]",Hugo Gaston
2021-11-22,67,206909,917,Brandon,Nakashima,R,2001-08-03,USA,NA,Q60676610,20,NA,"(50,101]",Brandon Nakashima
2021-11-22,68,200175,916,Miomir,Kecmanovic,R,1999-08-31,SRB,183,Q22005752,22,NA,"(50,101]",Miomir Kecmanovic
2021-11-22,69,105948,906,Federico,Coria,R,1992-03-09,ARG,NA,Q27306789,29,NA,"(50,101]",Federico Coria
2021-11-22,70,105683,884,Milos,Raonic,R,1990-12-27,CAN,196,Q312343,30,NA,"(50,101]",Milos Raonic
2021-11-22,71,105173,879,Adrian,Mannarino,L,1988-06-29,FRA,183,Q373522,33,NA,"(50,101]",Adrian Mannarino
2021-11-22,72,105357,875,John,Millman,R,1989-06-14,AUS,183,Q2152388,32,NA,"(50,101]",John Millman
2021-11-22,73,106432,874,Borna,Coric,R,1996-11-14,CRO,188,Q14905846,25,NA,"(50,101]",Borna Coric
2021-11-22,74,106148,869,Roberto,Carballes Baena,R,1993-03-23,ESP,183,Q16146051,28,NA,"(50,101]",Roberto Carballes Baena
2021-11-22,75,105550,866,Guido,Pella,L,1990-05-17,ARG,185,Q336862,31,NA,"(50,101]",Guido Pella
2021-11-22,76,105487,863,Facundo,Bagnis,L,1990-02-27,ARG,183,Q1391764,31,NA,"(50,101]",Facundo Bagnis
2021-11-22,77,111442,860,Jordan,Thompson,R,1994-04-20,AUS,183,Q16219277,27,NA,"(50,101]",Jordan Thompson
2021-11-22,78,105882,846,Stefano,Travaglia,R,1991-12-18,ITA,185,Q3972751,29,NA,"(50,101]",Stefano Travaglia
2021-11-22,79,104731,829,Kevin,Anderson,R,1986-05-18,RSA,203,Q299956,35,NA,"(50,101]",Kevin Anderson
2021-11-22,80,106415,823,Yoshihito,Nishioka,L,1995-09-27,JPN,170,Q16735453,26,NA,"(50,101]",Yoshihito Nishioka
2021-11-22,81,104527,822,Stan,Wawrinka,R,1985-03-28,SUI,183,Q193661,36,NA,"(50,101]",Stan Wawrinka
2021-11-22,82,106210,822,Jiri,Vesely,L,1993-07-10,CZE,198,Q2481933,28,NA,"(50,101]",Jiri Vesely
2021-11-22,83,105449,812,Steve,Johnson,R,1989-12-24,USA,188,Q53569,31,NA,"(50,101]",Steve Johnson
2021-11-22,84,144719,812,Jaume,Munar,R,1997-05-05,ESP,183,Q17274717,24,NA,"(50,101]",Jaume Munar
2021-11-22,85,105376,808,Peter,Gojowczyk,R,1989-07-15,GER,185,Q91615,32,NA,"(50,101]",Peter Gojowczyk
2021-11-22,86,104755,807,Richard,Gasquet,R,1986-06-18,FRA,185,Q209436,35,NA,"(50,101]",Richard Gasquet
2021-11-22,87,144684,806,Alex,Molcan,L,1997-12-01,SVK,NA,Q73247665,23,NA,"(50,101]",Alex Molcan
2021-11-22,88,106329,805,Thiago,Monteiro,L,1994-05-31,BRA,183,Q16301147,27,NA,"(50,101]",Thiago Monteiro
2021-11-22,89,207678,805,Juan Manuel,Cerundolo,L,2001-11-15,ARG,NA,Q105636111,20,NA,"(50,101]",Juan Manuel Cerundolo
2021-11-22,90,104665,800,Pablo,Andujar,R,1986-01-23,ESP,180,Q373571,35,NA,"(50,101]",Pablo Andujar
2021-11-22,91,144895,797,Corentin,Moutet,L,1999-04-19,FRA,178,Q30078104,22,NA,"(50,101]",Corentin Moutet
2021-11-22,92,106401,793,Nick,Kyrgios,R,1995-04-27,AUS,193,Q3720084,26,NA,"(50,101]",Nick Kyrgios
2021-11-22,93,144707,782,Mikael,Ymer,R,1998-09-09,SWE,183,Q20788534,23,NA,"(50,101]",Mikael Ymer
2021-11-22,94,200325,778,Emil,Ruusuvuori,R,1999-04-02,FIN,188,Q28493468,22,NA,"(50,101]",Emil Ruusuvuori
2021-11-22,95,105815,773,Tennys,Sandgren,R,1991-07-22,USA,188,Q7700510,30,NA,"(50,101]",Tennys Sandgren
2021-11-22,96,105967,773,Henri,Laaksonen,R,1992-03-31,SUI,185,Q13185,29,NA,"(50,101]",Henri Laaksonen
2021-11-22,97,202104,769,Sebastian,Baez,R,2000-12-28,ARG,NA,Q47396310,20,NA,"(50,101]",Sebastian Baez
2021-11-22,98,104655,760,Pablo,Cuevas,R,1986-01-01,URU,180,Q358651,35,NA,"(50,101]",Pablo Cuevas
2021-11-22,99,106065,759,Marco,Cecchinato,R,1992-09-30,ITA,185,Q13360044,29,NA,"(50,101]",Marco Cecchinato
2021-11-22,100,127157,745,Daniel,Altmaier,R,1998-09-12,GER,NA,Q30005211,23,NA,"(50,101]",Daniel Altmaier
2021-11-22,1,202458,7582,Ashleigh,Barty,R,1996-04-24,AUS,166,Q84056,25,16,"(0,10]",Ashleigh Barty
2021-11-22,2,214544,6380,Aryna,Sabalenka,R,1998-05-05,BLR,182,Q23448791,23,20,"(0,10]",Aryna Sabalenka
2021-11-22,3,202469,5685,Garbine,Muguruza,R,1993-10-08,ESP,182,Q34276,28,21,"(0,10]",Garbine Muguruza
2021-11-22,4,201662,5135,Karolina,Pliskova,R,1992-03-21,CZE,184,Q289365,29,19,"(0,10]",Karolina Pliskova
2021-11-22,5,206252,5008,Barbora,Krejcikova,R,1995-12-18,CZE,178,Q11052500,25,29,"(0,10]",Barbora Krejcikova
2021-11-22,6,206289,4385,Maria,Sakkari,R,1995-07-25,GRE,172,Q6761562,26,21,"(0,10]",Maria Sakkari
2021-11-22,7,204426,4351,Anett,Kontaveit,R,1995-12-24,EST,174,Q639366,25,23,"(0,10]",Anett Kontaveit
2021-11-22,8,211651,3849,Paula,Badosa,R,1997-11-15,ESP,180,Q19560013,24,32,"(0,10]",Paula Badosa
2021-11-22,9,216347,3786,Iga,Swiatek,R,2001-05-31,POL,176,Q26840238,20,16,"(0,10]",Iga Swiatek
2021-11-22,10,202460,3455,Ons,Jabeur,R,1994-08-28,TUN,167,Q290212,27,21,"(0,10]",Ons Jabeur
2021-11-22,11,201499,3076,Anastasia,Pavlyuchenkova,R,1991-07-03,RUS,177,Q487182,30,20,"(10,20]",Anastasia Pavlyuchenkova
2021-11-22,12,213550,2971,Sofia,Kenin,R,1998-11-14,USA,170,Q18679122,23,16,"(10,20]",Sofia Kenin
2021-11-22,13,211768,2956,Naomi,Osaka,R,1997-10-16,JPN,180,Q17466583,24,11,"(10,20]",Naomi Osaka
2021-11-22,14,214981,2855,Elena,Rybakina,R,1999-06-17,KAZ,184,Q42055714,22,29,"(10,20]",Elena Rybakina
2021-11-22,15,202494,2726,Elina,Svitolina,R,1994-09-12,UKR,174,Q270249,27,23,"(10,20]",Elina Svitolina
2021-11-22,16,201493,2671,Angelique,Kerber,L,1988-01-18,GER,173,Q77178,33,18,"(10,20]",Angelique Kerber
2021-11-22,17,201520,2660,Petra,Kvitova,L,1990-03-08,CZE,183,Q30812,31,20,"(10,20]",Petra Kvitova
2021-11-22,18,202468,2650,Jessica,Pegula,R,1994-02-24,USA,170,Q24159,27,22,"(10,20]",Jessica Pegula
2021-11-22,19,221054,2622,Emma,Raducanu,R,2002-11-13,GBR,175,Q64849968,19,18,"(10,20]",Emma Raducanu
2021-11-22,20,201594,2576,Simona,Halep,R,1991-09-27,ROU,168,Q230156,30,17,"(10,20]",Simona Halep
2021-11-22,21,210722,2570,Elise,Mertens,R,1995-11-17,BEL,179,Q17381675,26,22,"(20,50]",Elise Mertens
2021-11-22,22,221103,2550,Cori,Gauff,R,2004-03-13,USA,175,Q39263365,17,21,"(20,50]",Cori Gauff
2021-11-22,23,202505,2415,Belinda,Bencic,R,1997-03-10,SUI,175,Q509903,24,23,"(20,50]",Belinda Bencic
2021-11-22,24,220367,2284,Leylah Annie,Fernandez,L,2002-09-06,CAN,168,Q50329570,19,29,"(20,50]",Leylah Annie Fernandez
2021-11-22,25,206108,2278,Jennifer,Brady,R,1995-04-12,USA,178,Q17612134,26,17,"(20,50]",Jennifer Brady
2021-11-22,26,214082,2180,Darya,Kasatkina,R,1997-05-07,RUS,170,Q17144642,24,25,"(20,50]",Darya Kasatkina
2021-11-22,27,201458,2166,Victoria,Azarenka,R,1989-07-31,BLR,180,Q10118,32,15,"(20,50]",Victoria Azarenka
2021-11-22,28,211533,2060,Jelena,Ostapenko,R,1997-06-08,LAT,177,Q5551564,24,19,"(20,50]",Jelena Ostapenko
2021-11-22,29,203389,2036,Danielle Rose,Collins,R,1993-12-13,USA,178,Q17523802,27,21,"(20,50]",Danielle Rose Collins
2021-11-22,30,214461,1876,Tamara,Zidansek,R,1997-12-26,SLO,168,Q20830267,23,25,"(20,50]",Tamara Zidansek
2021-11-22,31,206368,1870,Veronika,Kudermetova,R,1997-04-24,RUS,175,Q14618664,24,26,"(20,50]",Veronika Kudermetova
2021-11-22,32,214096,1865,Karolina,Muchova,R,1996-08-21,CZE,178,Q23661750,25,14,"(20,50]",Karolina Muchova
2021-11-22,33,206420,1836,Ekaterina,Alexandrova,R,1994-11-15,RUS,175,Q23719121,27,25,"(20,50]",Ekaterina Alexandrova
2021-11-22,34,202429,1740,Camila,Giorgi,R,1991-12-30,ITA,168,Q34248,29,22,"(20,50]",Camila Giorgi
2021-11-22,35,214954,1701,Marketa,Vondrousova,L,1999-06-28,CZE,173,Q18918709,22,22,"(20,50]",Marketa Vondrousova
2021-11-22,36,204427,1645,Sara,Sorribes Tormo,R,1996-10-08,ESP,176,Q17750103,25,28,"(20,50]",Sara Sorribes Tormo
2021-11-22,37,213525,1620,Jil Belen,Teichmann,L,1997-07-15,SUI,170,Q18011082,24,28,"(20,50]",Jil Belen Teichmann
2021-11-22,38,201514,1617,Sorana,Cirstea,R,1990-04-07,ROU,176,Q230242,31,24,"(20,50]",Sorana Cirstea
2021-11-22,39,214643,1601,Ludmilla,Samsonova,R,1998-11-11,RUS,180,Q26416429,23,34,"(20,50]",Ludmilla Samsonova
2021-11-22,40,201603,1583,Shelby,Rogers,R,1992-10-13,USA,175,Q377658,29,32,"(20,50]",Shelby Rogers
2021-11-22,41,200033,1526,Serena,Williams,R,1981-09-26,USA,175,Q11459,40,9,"(20,50]",Serena Williams
2021-11-22,42,201709,1425,Yulia,Putintseva,R,1995-01-07,KAZ,163,Q2429984,26,27,"(20,50]",Yulia Putintseva
2021-11-22,43,203530,1422,Viktorija,Golubic,R,1992-10-16,SUI,169,Q7929924,29,30,"(20,50]",Viktorija Golubic
2021-11-22,44,220704,1421,Clara,Tauson,R,2002-12-21,DEN,182,Q42675013,18,38,"(20,50]",Clara Tauson
2021-11-22,45,201548,1395,Ajla,Tomljanovic,R,1993-05-07,AUS,180,Q2712407,28,27,"(20,50]",Ajla Tomljanovic
2021-11-22,46,215370,1378,Bianca,Andreescu,R,2000-06-16,CAN,170,Q22957410,21,13,"(20,50]",Bianca Andreescu
2021-11-22,47,215983,1314,Ann,Li,R,2000-06-26,USA,170,Q39074494,21,36,"(20,50]",Ann Li
2021-11-22,48,206124,1226,Tereza,Martincova,R,1994-10-24,CZE,NA,Q13426427,27,32,"(20,50]",Tereza Martincova
2021-11-22,49,211701,1220,Katerina,Siniakova,R,1996-05-10,CZE,174,Q3720044,25,22,"(20,50]",Katerina Siniakova
2021-11-22,50,216146,1215,Marta,Kostyuk,R,2002-06-28,UKR,175,Q28535267,19,32,"(20,50]",Marta Kostyuk
2021-11-22,51,201590,1191,Alison,Riske,R,1990-07-03,USA,173,Q54572,31,21,"(50,101]",Alison Riske
2021-11-22,52,211843,1188,Anhelina,Kalinina,R,1997-02-07,UKR,NA,Q15642606,24,41,"(50,101]",Anhelina Kalinina
2021-11-22,53,211148,1178,Jasmine,Paolini,R,1996-01-04,ITA,NA,Q19973674,25,36,"(50,101]",Jasmine Paolini
2021-11-22,54,201549,1171,Petra,Martic,R,1991-01-19,CRO,181,Q232553,30,24,"(50,101]",Petra Martic
2021-11-22,55,215785,1167,Maria Camila,Osorio Serrano,R,2001-12-22,COL,162,Q29052147,19,36,"(50,101]",Maria Camila Osorio Serrano
2021-11-22,56,201619,1149,Madison,Keys,R,1995-02-17,USA,178,Q34403,26,17,"(50,101]",Madison Keys
2021-11-22,57,202663,1142,Magda,Linette,R,1992-02-12,POL,171,Q722311,29,24,"(50,101]",Magda Linette
2021-11-22,58,201483,1102,Madison,Brengle,R,1990-04-03,USA,NA,Q53336,31,44,"(50,101]",Madison Brengle
2021-11-22,59,201427,1080,Alize,Cornet,R,1990-01-22,FRA,173,Q229002,31,29,"(50,101]",Alize Cornet
2021-11-22,60,201593,1076,Irina Camelia,Begu,R,1990-08-26,ROU,181,Q239751,31,25,"(50,101]",Irina Camelia Begu
2021-11-22,61,210886,1049,Mayar,Sherif,R,1996-05-05,EGY,180,Q19577829,25,48,"(50,101]",Mayar Sherif
2021-11-22,62,201533,1031,Shuai,Zhang,R,1989-01-21,CHN,177,Q197291,32,30,"(50,101]",Shuai Zhang
2021-11-22,63,201551,1031,Arantxa,Rus,L,1990-12-13,NED,180,Q239758,30,48,"(50,101]",Arantxa Rus
2021-11-22,64,201585,1023,Sloane,Stephens,R,1993-03-20,USA,170,Q54670,28,20,"(50,101]",Sloane Stephens
2021-11-22,65,203463,1008,Nuria,Parrizas Diaz,R,1991-07-15,ESP,NA,Q42904647,30,49,"(50,101]",Nuria Parrizas Diaz
2021-11-22,66,211951,998,Ana,Konjuh,R,1997-12-27,CRO,174,Q2365460,23,27,"(50,101]",Ana Konjuh
2021-11-22,67,202499,995,Donna,Vekic,R,1996-06-28,CRO,179,Q648854,25,21,"(50,101]",Donna Vekic
2021-11-22,68,202421,995,Alison,Van Uytvanck,R,1994-03-26,BEL,173,Q1976217,27,28,"(50,101]",Alison Van Uytvanck
2021-11-22,69,215713,985,Anastasia,Potapova,R,2001-03-30,RUS,175,Q24955766,20,29,"(50,101]",Anastasia Potapova
2021-11-22,70,201545,956,Anastasija,Sevastova,R,1990-04-13,LAT,169,Q232445,31,21,"(50,101]",Anastasija Sevastova
2021-11-22,71,211713,954,Jaqueline Adina,Cristian,R,1998-06-05,ROU,180,Q20676333,23,40,"(50,101]",Jaqueline Adina Cristian
2021-11-22,72,201466,950,Kaia,Kanepi,R,1985-06-10,EST,181,Q211428,36,23,"(50,101]",Kaia Kanepi
2021-11-22,73,201586,949,Heather,Watson,R,1992-05-19,GBR,170,Q239605,29,28,"(50,101]",Heather Watson
2021-11-22,74,201614,945,Caroline,Garcia,R,1993-10-16,FRA,177,Q258877,28,29,"(50,101]",Caroline Garcia
2021-11-22,75,213889,932,Greetje,Minnen,R,1997-08-14,BEL,NA,Q23059523,24,39,"(50,101]",Greetje Minnen
2021-11-22,76,201492,919,Andrea,Petkovic,R,1987-09-09,GER,180,Q57557,34,22,"(50,101]",Andrea Petkovic
2021-11-22,77,216262,902,Clara,Burel,R,2001-03-24,FRA,176,Q54086890,20,30,"(50,101]",Clara Burel
2021-11-22,78,216153,890,Amanda,Anisimova,R,2001-08-31,USA,180,NA,20,20,"(50,101]",Amanda Anisimova
2021-11-22,79,219875,880,Varvara,Gracheva,R,2000-08-02,RUS,NA,Q50332038,21,54,"(50,101]",Varvara Gracheva
2021-11-22,80,202453,877,Saisai,Zheng,R,1994-02-05,CHN,170,Q197634,27,23,"(50,101]",Saisai Zheng
2021-11-22,81,202628,871,Maryna,Zanevska,R,1993-08-24,UKR,NA,Q2626886,28,34,"(50,101]",Maryna Zanevska
2021-11-22,82,206242,868,Beatriz,Haddad Maia,L,1996-05-30,BRA,185,Q2380901,25,35,"(50,101]",Beatriz Haddad Maia
2021-11-22,83,206408,867,Nadia,Podoroska,U,1997-02-10,ARG,170,Q16496064,24,38,"(50,101]",Nadia Podoroska
2021-11-22,84,203533,867,Anna Karolina,Schmiedlova,R,1994-09-13,SVK,176,Q138094,27,26,"(50,101]",Anna Karolina Schmiedlova
2021-11-22,85,211817,859,Elena Gabriela,Ruse,U,1997-11-06,ROU,NA,Q20745254,24,30,"(50,101]",Elena Gabriela Ruse
2021-11-22,86,202490,853,Rebecca,Peterson,R,1995-08-06,SWE,173,Q6451785,26,24,"(50,101]",Rebecca Peterson
2021-11-22,87,201329,844,Vera,Zvonareva,R,1984-09-07,RUS,172,Q374053,37,19,"(50,101]",Vera Zvonareva
2021-11-22,88,201616,839,Lauren,Davis,R,1993-10-09,USA,157,Q53405,28,27,"(50,101]",Lauren Davis
2021-11-22,89,213631,838,Marie,Bouzkova,R,1998-07-21,CZE,180,Q18003204,23,30,"(50,101]",Marie Bouzkova
2021-11-22,90,214388,821,Anna,Bondar,R,1997-05-27,HUN,NA,Q19281715,24,50,"(50,101]",Anna Bondar
2021-11-22,91,205925,820,Aliaksandra,Sasnovich,R,1994-03-22,BLR,174,Q4725560,27,26,"(50,101]",Aliaksandra Sasnovich
2021-11-22,92,201540,820,Kristina,Mladenovic,R,1993-05-14,FRA,184,Q242959,28,30,"(50,101]",Kristina Mladenovic
2021-11-22,93,211095,815,Bernarda,Pera,L,1994-12-03,USA,NA,Q13850958,26,32,"(50,101]",Bernarda Pera
2021-11-22,94,214906,815,Claire,Liu,R,2000-05-25,USA,170,Q20898017,21,37,"(50,101]",Claire Liu
2021-11-22,95,203575,808,Danka,Kovinic,R,1994-11-18,MNE,169,Q5219935,27,36,"(50,101]",Danka Kovinic
2021-11-22,96,206292,806,Astra,Sharma,R,1995-09-11,AUS,NA,Q45696181,26,31,"(50,101]",Astra Sharma
2021-11-22,97,215035,789,Dayana,Yastremska,R,2000-05-15,UKR,175,Q23888026,21,19,"(50,101]",Dayana Yastremska
2021-11-22,98,215219,788,Kaja,Juvan,R,2000-11-25,SLO,170,Q29478863,21,28,"(50,101]",Kaja Juvan
2021-11-22,99,216133,786,Xin Yu,Wang,R,2001-09-26,CHN,182,Q44465805,20,42,"(50,101]",Xin Yu Wang
2021-11-22,100,201610,783,Zarina,Diyas,R,1993-10-18,KAZ,172,Q2466357,28,27,"(50,101]",Zarina Diyas
